Month,2 queen beds: (New York NY),2 beds: (New York NY),1 bed: (New York NY),1 king bed: (New York NY)
2013-01,0,0,0,0
2013-02,0,46,0,21
2013-03,23,27,0,33
2013-04,16,44,0,0
2013-05,0,0,0,0
2013-06,0,23,0,0
2013-07,0,34,0,0
2013-08,36,34,24,0
2013-09,0,0,40,0
2013-10,47,41,0,0
2013-11,0,100,0,64
2013-12,0,0,0,0
2014-01,22,16,0,0
2014-02,22,29,0,0
2014-03,20,28,17,0
2014-04,36,17,0,0
2014-05,21,89,0,0
2014-06,35,32,18,19
2014-07,47,52,0,0
2014-08,30,26,19,0
2014-09,0,31,53,47
2014-10,0,37,56,0
2014-11,0,0,30,0
2014-12,0,40,0,0
2015-01,0,34,0,30
2015-02,0,0,0,0
2015-03,14,45,0,0
2015-04,20,15,44,0
2015-05,0,0,0,28
2015-06,0,0,0,0
2015-07,0,15,15,17
2015-08,30,0,0,0
2015-09,32,0,0,0
2015-10,22,30,21,0
2015-11,0,0,0,0
2015-12,0,25,15,45
2016-01,0,0,18,22
2016-02,21,0,83,0
2016-03,35,40,39,0
2016-04,0,34,34,0
2016-05,33,0,0,0
2016-06,0,39,35,30
2016-07,0,53,0,15
2016-08,33,0,0,0
2016-09,0,0,0,0
2016-10,68,22,0,0
2016-11,0,39,14,0
2016-12,0,44,0,24
2017-01,15,29,0,0
2017-02,15,0,76,0
2017-03,0,35,0,0
2017-04,13,16,0,19
2017-05,34,0,0,17
2017-06,29,41,19,0
2017-07,28,0,18,0
2017-08,25,26,0,0
2017-09,29,21,0,0
2017-10,33,20,0,0
2017-11,22,0,0,34
2017-12,0,0,0,0
2018-01,0,29,33,0
2018-02,14,0,0,0
2018-03,0,84,0,0
2018-04,13,37,56,0
2018-05,26,20,33,24
2018-06,37,34,0,42
2018-07,15,42,0,53
2018-08,0,55,19,15
2018-09,14,0,0,24
2018-10,0,0,15,0
2018-11,0,0,14,0
2018-12,14,15,18,0
2019-01,0,32,29,0
2019-02,0,34,0,0
2019-03,18,19,13,0
2019-04,0,31,0,0
2019-05,0,0,31,38
2019-06,13,48,20,0
2019-07,19,59,15,0
2019-08,0,0,0,22
2019-09,13,14,0,0
2019-10,0,0,0,0
2019-11,25,46,0,18
2019-12,0,0,0,16
2020-01,0,0,0,0
2020-02,15,0,27,0
2020-03,11,0,11,0
2020-04,13,14,0,29
2020-05,0,11,12,13
2020-06,0,10,0,0
2020-07,0,10,0,0
2020-08,0,0,11,25
2020-09,0,11,0,0
2020-10,0,20,30,0
2020-11,0,0,24,14
2020-12,22,37,0,0
2021-01,27,0,0,0
2021-02,0,18,14,0
2021-03,0,0,0,0
2021-04,31,20,27,27
2021-05,0,20,17,0
2021-06,16,32,0,0
2021-07,0,13,0,0
2021-08,0,0,0,0
2021-09,16,28,0,0
2021-10,0,0,0,0
2021-11,21,14,0,0
2021-12,21,30,19,0
2022-01,0,0,0,0
2022-02,0,17,37,0
2022-03,14,34,0,21
2022-04,17,0,20,18
2022-05,0,0,26,18
2022-06,0,33,14,32
2022-07,35,23,0,0
2022-08,0,54,21,0
2022-09,37,16,16,0
2022-10,18,17,0,0
2022-11,35,0,0,0
2022-12,13,28,0,0
2023-01,0,29,0,0
2023-02,0,0,0,0
2023-03,33,29,0,0
2023-04,0,0,11,0
2023-05,0,11,0,14
2023-06,16,25,0,19
2023-07,27,34,0,0
